d,sigma,theta
0.012,0.18,0.45
0.013,0.18,0.45
0.014,0.18,0.45
0.015,0.18,0.45
0.016,0.18,0.45
0.017,0.18,0.45
0.018,0.18,0.45
0.019,0.18,0.45
0.02,0.18,0.45
0.021,0.18,0.45
0.022,0.18,0.45
0.023,0.18,0.45
0.024,0.18,0.45
0.025,0.18,0.45
0.001,0.19,0.45
0.002,0.19,0.45
0.003,0.19,0.45
0.004,0.19,0.45
0.005,0.19,0.45
0.006,0.19,0.45
0.007,0.19,0.45
0.008,0.19,0.45
0.009,0.19,0.45
0.01,0.19,0.45
0.011,0.19,0.45
0.012,0.19,0.45
0.013,0.19,0.45
0.014,0.19,0.45
0.015,0.19,0.45
0.016,0.19,0.45
0.017,0.19,0.45
0.018,0.19,0.45
0.019,0.19,0.45
0.02,0.19,0.45
0.021,0.19,0.45
0.022,0.19,0.45
0.023,0.19,0.45
0.024,0.19,0.45
0.025,0.19,0.45
0.001,0.2,0.45
0.002,0.2,0.45
0.003,0.2,0.45
0.004,0.2,0.45
0.005,0.2,0.45
0.006,0.2,0.45
0.007,0.2,0.45
0.008,0.2,0.45
0.009,0.2,0.45
0.01,0.2,0.45
0.011,0.2,0.45
0.012,0.2,0.45
0.013,0.2,0.45
0.014,0.2,0.45
0.015,0.2,0.45
0.016,0.2,0.45
0.017,0.2,0.45
0.018,0.2,0.45
0.019,0.2,0.45
0.02,0.2,0.45
0.021,0.2,0.45
0.022,0.2,0.45
0.023,0.2,0.45
0.024,0.2,0.45
0.025,0.2,0.45
0.001,0.21,0.45
0.002,0.21,0.45
0.003,0.21,0.45
0.004,0.21,0.45
0.005,0.21,0.45
0.006,0.21,0.45
0.007,0.21,0.45
0.008,0.21,0.45
0.009,0.21,0.45
0.01,0.21,0.45
0.011,0.21,0.45
0.012,0.21,0.45
0.013,0.21,0.45
0.014,0.21,0.45
0.015,0.21,0.45
0.016,0.21,0.45
0.017,0.21,0.45
0.018,0.21,0.45
0.019,0.21,0.45
0.02,0.21,0.45
0.021,0.21,0.45
0.022,0.21,0.45
0.023,0.21,0.45
0.024,0.21,0.45
0.025,0.21,0.45
0.001,0.22,0.45
0.002,0.22,0.45
0.003,0.22,0.45
0.004,0.22,0.45
0.005,0.22,0.45
0.006,0.22,0.45
0.007,0.22,0.45
0.008,0.22,0.45
0.009,0.22,0.45
0.01,0.22,0.45
0.011,0.22,0.45
0.012,0.22,0.45
0.013,0.22,0.45
0.014,0.22,0.45
0.015,0.22,0.45
0.016,0.22,0.45
0.017,0.22,0.45
0.018,0.22,0.45
0.019,0.22,0.45
0.02,0.22,0.45
0.021,0.22,0.45
0.022,0.22,0.45
0.023,0.22,0.45
0.024,0.22,0.45
0.025,0.22,0.45
0.001,0.23,0.45
0.002,0.23,0.45
0.003,0.23,0.45
0.004,0.23,0.45
0.005,0.23,0.45
0.006,0.23,0.45
0.007,0.23,0.45
0.008,0.23,0.45
0.009,0.23,0.45
0.01,0.23,0.45
0.011,0.23,0.45
0.012,0.23,0.45
0.013,0.23,0.45
0.014,0.23,0.45
0.015,0.23,0.45
0.016,0.23,0.45
0.017,0.23,0.45
0.018,0.23,0.45
0.019,0.23,0.45
0.02,0.23,0.45
0.021,0.23,0.45
0.022,0.23,0.45
0.023,0.23,0.45
0.024,0.23,0.45
0.025,0.23,0.45
0.001,0.24,0.45
0.002,0.24,0.45
0.003,0.24,0.45
0.004,0.24,0.45
0.005,0.24,0.45
0.006,0.24,0.45
0.007,0.24,0.45
0.008,0.24,0.45
0.009,0.24,0.45
0.01,0.24,0.45
0.011,0.24,0.45
0.012,0.24,0.45
0.013,0.24,0.45
0.014,0.24,0.45
0.015,0.24,0.45
0.016,0.24,0.45
0.017,0.24,0.45
0.018,0.24,0.45
0.019,0.24,0.45
0.02,0.24,0.45
0.021,0.24,0.45
0.022,0.24,0.45
0.023,0.24,0.45
0.024,0.24,0.45
0.025,0.24,0.45
0.001,0.25,0.45
0.002,0.25,0.45
0.003,0.25,0.45
0.004,0.25,0.45
0.005,0.25,0.45
0.006,0.25,0.45
0.007,0.25,0.45
0.008,0.25,0.45
0.009,0.25,0.45
0.01,0.25,0.45
0.011,0.25,0.45
0.012,0.25,0.45
0.013,0.25,0.45
0.014,0.25,0.45
0.015,0.25,0.45
0.016,0.25,0.45
0.017,0.25,0.45
0.018,0.25,0.45
0.019,0.25,0.45
0.02,0.25,0.45
0.021,0.25,0.45
0.022,0.25,0.45
0.023,0.25,0.45
0.024,0.25,0.45
0.025,0.25,0.45
0.001,0.01,0.48
0.002,0.01,0.48
0.003,0.01,0.48
0.004,0.01,0.48
0.005,0.01,0.48
0.006,0.01,0.48
0.007,0.01,0.48
0.008,0.01,0.48
0.009,0.01,0.48
0.01,0.01,0.48
0.011,0.01,0.48
0.012,0.01,0.48
0.013,0.01,0.48
0.014,0.01,0.48
0.015,0.01,0.48
0.016,0.01,0.48
0.017,0.01,0.48
0.018,0.01,0.48
0.019,0.01,0.48
0.02,0.01,0.48
0.021,0.01,0.48
0.022,0.01,0.48
0.023,0.01,0.48
0.024,0.01,0.48
0.025,0.01,0.48
0.001,0.02,0.48
0.002,0.02,0.48
0.003,0.02,0.48
0.004,0.02,0.48
0.005,0.02,0.48
0.006,0.02,0.48
0.007,0.02,0.48
0.008,0.02,0.48
0.009,0.02,0.48
0.01,0.02,0.48
0.011,0.02,0.48
0.012,0.02,0.48
0.013,0.02,0.48
0.014,0.02,0.48
0.015,0.02,0.48
0.016,0.02,0.48
0.017,0.02,0.48
0.018,0.02,0.48
0.019,0.02,0.48
0.02,0.02,0.48
0.021,0.02,0.48
0.022,0.02,0.48
0.023,0.02,0.48
0.024,0.02,0.48
0.025,0.02,0.48
0.001,0.03,0.48
0.002,0.03,0.48
0.003,0.03,0.48
0.004,0.03,0.48
0.005,0.03,0.48
0.006,0.03,0.48
0.007,0.03,0.48
0.008,0.03,0.48
0.009,0.03,0.48
0.01,0.03,0.48
0.011,0.03,0.48
0.012,0.03,0.48
0.013,0.03,0.48
0.014,0.03,0.48
0.015,0.03,0.48
0.016,0.03,0.48
0.017,0.03,0.48
0.018,0.03,0.48
0.019,0.03,0.48
0.02,0.03,0.48
0.021,0.03,0.48
0.022,0.03,0.48
0.023,0.03,0.48
0.024,0.03,0.48
0.025,0.03,0.48
0.001,0.04,0.48
0.002,0.04,0.48
0.003,0.04,0.48
0.004,0.04,0.48
0.005,0.04,0.48
0.006,0.04,0.48
0.007,0.04,0.48
0.008,0.04,0.48
0.009,0.04,0.48
0.01,0.04,0.48
0.011,0.04,0.48
0.012,0.04,0.48
0.013,0.04,0.48
0.014,0.04,0.48
0.015,0.04,0.48
0.016,0.04,0.48
0.017,0.04,0.48
0.018,0.04,0.48
0.019,0.04,0.48
0.02,0.04,0.48
0.021,0.04,0.48
0.022,0.04,0.48
0.023,0.04,0.48
0.024,0.04,0.48
0.025,0.04,0.48
0.001,0.05,0.48
0.002,0.05,0.48
0.003,0.05,0.48
0.004,0.05,0.48
0.005,0.05,0.48
0.006,0.05,0.48
0.007,0.05,0.48
0.008,0.05,0.48
0.009,0.05,0.48
0.01,0.05,0.48
0.011,0.05,0.48
0.012,0.05,0.48
0.013,0.05,0.48
0.014,0.05,0.48
0.015,0.05,0.48
0.016,0.05,0.48
0.017,0.05,0.48
0.018,0.05,0.48
0.019,0.05,0.48
0.02,0.05,0.48
0.021,0.05,0.48
0.022,0.05,0.48
0.023,0.05,0.48
0.024,0.05,0.48
0.025,0.05,0.48
0.001,0.06,0.48
0.002,0.06,0.48
0.003,0.06,0.48
0.004,0.06,0.48
0.005,0.06,0.48
0.006,0.06,0.48
0.007,0.06,0.48
0.008,0.06,0.48
0.009,0.06,0.48
0.01,0.06,0.48
0.011,0.06,0.48
0.012,0.06,0.48
0.013,0.06,0.48
0.014,0.06,0.48
0.015,0.06,0.48
0.016,0.06,0.48
0.017,0.06,0.48
0.018,0.06,0.48
0.019,0.06,0.48
0.02,0.06,0.48
0.021,0.06,0.48
0.022,0.06,0.48
0.023,0.06,0.48
0.024,0.06,0.48
0.025,0.06,0.48
0.001,0.07,0.48
0.002,0.07,0.48
0.003,0.07,0.48
0.004,0.07,0.48
0.005,0.07,0.48
0.006,0.07,0.48
0.007,0.07,0.48
0.008,0.07,0.48
0.009,0.07,0.48
0.01,0.07,0.48
0.011,0.07,0.48
0.012,0.07,0.48
0.013,0.07,0.48
0.014,0.07,0.48
0.015,0.07,0.48
0.016,0.07,0.48
0.017,0.07,0.48
0.018,0.07,0.48
0.019,0.07,0.48
0.02,0.07,0.48
0.021,0.07,0.48
0.022,0.07,0.48
0.023,0.07,0.48
0.024,0.07,0.48
0.025,0.07,0.48
0.001,0.08,0.48
0.002,0.08,0.48
0.003,0.08,0.48
0.004,0.08,0.48
0.005,0.08,0.48
0.006,0.08,0.48
0.007,0.08,0.48
0.008,0.08,0.48
0.009,0.08,0.48
0.01,0.08,0.48
0.011,0.08,0.48
0.012,0.08,0.48
0.013,0.08,0.48
0.014,0.08,0.48
0.015,0.08,0.48
0.016,0.08,0.48
0.017,0.08,0.48
0.018,0.08,0.48
0.019,0.08,0.48
0.02,0.08,0.48
0.021,0.08,0.48
0.022,0.08,0.48
0.023,0.08,0.48
0.024,0.08,0.48
0.025,0.08,0.48
0.001,0.09,0.48
0.002,0.09,0.48
0.003,0.09,0.48
0.004,0.09,0.48
0.005,0.09,0.48
0.006,0.09,0.48
0.007,0.09,0.48
0.008,0.09,0.48
0.009,0.09,0.48
0.01,0.09,0.48
0.011,0.09,0.48
0.012,0.09,0.48
0.013,0.09,0.48
0.014,0.09,0.48
0.015,0.09,0.48
0.016,0.09,0.48
0.017,0.09,0.48
0.018,0.09,0.48
0.019,0.09,0.48
0.02,0.09,0.48
0.021,0.09,0.48
0.022,0.09,0.48
0.023,0.09,0.48
0.024,0.09,0.48
0.025,0.09,0.48
0.001,0.1,0.48
0.002,0.1,0.48
0.003,0.1,0.48
0.004,0.1,0.48
0.005,0.1,0.48
0.006,0.1,0.48
0.007,0.1,0.48
0.008,0.1,0.48
0.009,0.1,0.48
0.01,0.1,0.48
0.011,0.1,0.48
0.012,0.1,0.48
0.013,0.1,0.48
0.014,0.1,0.48
0.015,0.1,0.48
0.016,0.1,0.48
0.017,0.1,0.48
0.018,0.1,0.48
0.019,0.1,0.48
0.02,0.1,0.48
0.021,0.1,0.48
0.022,0.1,0.48
0.023,0.1,0.48
0.024,0.1,0.48
0.025,0.1,0.48
0.001,0.11,0.48
0.002,0.11,0.48
0.003,0.11,0.48
0.004,0.11,0.48
0.005,0.11,0.48
0.006,0.11,0.48
0.007,0.11,0.48
0.008,0.11,0.48
0.009,0.11,0.48
0.01,0.11,0.48
0.011,0.11,0.48
0.012,0.11,0.48
0.013,0.11,0.48
0.014,0.11,0.48
0.015,0.11,0.48
0.016,0.11,0.48
0.017,0.11,0.48
0.018,0.11,0.48
0.019,0.11,0.48
0.02,0.11,0.48
0.021,0.11,0.48
0.022,0.11,0.48
0.023,0.11,0.48
0.024,0.11,0.48
0.025,0.11,0.48
0.001,0.12,0.48
0.002,0.12,0.48
0.003,0.12,0.48
0.004,0.12,0.48
0.005,0.12,0.48
0.006,0.12,0.48
0.007,0.12,0.48
0.008,0.12,0.48
0.009,0.12,0.48
0.01,0.12,0.48
0.011,0.12,0.48
0.012,0.12,0.48
0.013,0.12,0.48
0.014,0.12,0.48
0.015,0.12,0.48
0.016,0.12,0.48
0.017,0.12,0.48
0.018,0.12,0.48
0.019,0.12,0.48
0.02,0.12,0.48
0.021,0.12,0.48
0.022,0.12,0.48
0.023,0.12,0.48
0.024,0.12,0.48
0.025,0.12,0.48
0.001,0.13,0.48
0.002,0.13,0.48
0.003,0.13,0.48
0.004,0.13,0.48
0.005,0.13,0.48
0.006,0.13,0.48
0.007,0.13,0.48
0.008,0.13,0.48
0.009,0.13,0.48
0.01,0.13,0.48
0.011,0.13,0.48
0.012,0.13,0.48
0.013,0.13,0.48
0.014,0.13,0.48
0.015,0.13,0.48
0.016,0.13,0.48
0.017,0.13,0.48
0.018,0.13,0.48
0.019,0.13,0.48
0.02,0.13,0.48
0.021,0.13,0.48
0.022,0.13,0.48
0.023,0.13,0.48
0.024,0.13,0.48
0.025,0.13,0.48
0.001,0.14,0.48
0.002,0.14,0.48
0.003,0.14,0.48
0.004,0.14,0.48
0.005,0.14,0.48
0.006,0.14,0.48
0.007,0.14,0.48
0.008,0.14,0.48
0.009,0.14,0.48
0.01,0.14,0.48
0.011,0.14,0.48
0.012,0.14,0.48
0.013,0.14,0.48
0.014,0.14,0.48
0.015,0.14,0.48
0.016,0.14,0.48
0.017,0.14,0.48
0.018,0.14,0.48
0.019,0.14,0.48
0.02,0.14,0.48
0.021,0.14,0.48
0.022,0.14,0.48
0.023,0.14,0.48
0.024,0.14,0.48
0.025,0.14,0.48
0.001,0.15,0.48
0.002,0.15,0.48
0.003,0.15,0.48
0.004,0.15,0.48
0.005,0.15,0.48
0.006,0.15,0.48
0.007,0.15,0.48
0.008,0.15,0.48
0.009,0.15,0.48
0.01,0.15,0.48
0.011,0.15,0.48
0.012,0.15,0.48
0.013,0.15,0.48
0.014,0.15,0.48
0.015,0.15,0.48
0.016,0.15,0.48
0.017,0.15,0.48
0.018,0.15,0.48
0.019,0.15,0.48
0.02,0.15,0.48
0.021,0.15,0.48
0.022,0.15,0.48
0.023,0.15,0.48
0.024,0.15,0.48
0.025,0.15,0.48
0.001,0.16,0.48
0.002,0.16,0.48
0.003,0.16,0.48
0.004,0.16,0.48
0.005,0.16,0.48
0.006,0.16,0.48
0.007,0.16,0.48
0.008,0.16,0.48
0.009,0.16,0.48
0.01,0.16,0.48
0.011,0.16,0.48
0.012,0.16,0.48
0.013,0.16,0.48
0.014,0.16,0.48
0.015,0.16,0.48
0.016,0.16,0.48
0.017,0.16,0.48
0.018,0.16,0.48
0.019,0.16,0.48
0.02,0.16,0.48
0.021,0.16,0.48
0.022,0.16,0.48
0.023,0.16,0.48
0.024,0.16,0.48
0.025,0.16,0.48
0.001,0.17,0.48
0.002,0.17,0.48
0.003,0.17,0.48
0.004,0.17,0.48
0.005,0.17,0.48
0.006,0.17,0.48
0.007,0.17,0.48
0.008,0.17,0.48
0.009,0.17,0.48
0.01,0.17,0.48
0.011,0.17,0.48
0.012,0.17,0.48
0.013,0.17,0.48
0.014,0.17,0.48
0.015,0.17,0.48
0.016,0.17,0.48
0.017,0.17,0.48
0.018,0.17,0.48
0.019,0.17,0.48
0.02,0.17,0.48
0.021,0.17,0.48
0.022,0.17,0.48
0.023,0.17,0.48
0.024,0.17,0.48
0.025,0.17,0.48
0.001,0.18,0.48
0.002,0.18,0.48
0.003,0.18,0.48
0.004,0.18,0.48
0.005,0.18,0.48
0.006,0.18,0.48
0.007,0.18,0.48
0.008,0.18,0.48
0.009,0.18,0.48
0.01,0.18,0.48
0.011,0.18,0.48
0.012,0.18,0.48
0.013,0.18,0.48
0.014,0.18,0.48
0.015,0.18,0.48
0.016,0.18,0.48
0.017,0.18,0.48
0.018,0.18,0.48
0.019,0.18,0.48
0.02,0.18,0.48
0.021,0.18,0.48
0.022,0.18,0.48
0.023,0.18,0.48
0.024,0.18,0.48
0.025,0.18,0.48
0.001,0.19,0.48
0.002,0.19,0.48
0.003,0.19,0.48
0.004,0.19,0.48
0.005,0.19,0.48
0.006,0.19,0.48
0.007,0.19,0.48
0.008,0.19,0.48
0.009,0.19,0.48
0.01,0.19,0.48
0.011,0.19,0.48
0.012,0.19,0.48
0.013,0.19,0.48
0.014,0.19,0.48
0.015,0.19,0.48
0.016,0.19,0.48
0.017,0.19,0.48
0.018,0.19,0.48
0.019,0.19,0.48
0.02,0.19,0.48
0.021,0.19,0.48
0.022,0.19,0.48
0.023,0.19,0.48
0.024,0.19,0.48
0.025,0.19,0.48
0.001,0.2,0.48
0.002,0.2,0.48
0.003,0.2,0.48
0.004,0.2,0.48
0.005,0.2,0.48
0.006,0.2,0.48
0.007,0.2,0.48
0.008,0.2,0.48
0.009,0.2,0.48
0.01,0.2,0.48
0.011,0.2,0.48
0.012,0.2,0.48
0.013,0.2,0.48
0.014,0.2,0.48
0.015,0.2,0.48
0.016,0.2,0.48
0.017,0.2,0.48
0.018,0.2,0.48
0.019,0.2,0.48
0.02,0.2,0.48
0.021,0.2,0.48
0.022,0.2,0.48
0.023,0.2,0.48
0.024,0.2,0.48
0.025,0.2,0.48
0.001,0.21,0.48
0.002,0.21,0.48
0.003,0.21,0.48
0.004,0.21,0.48
0.005,0.21,0.48
0.006,0.21,0.48
0.007,0.21,0.48
0.008,0.21,0.48
0.009,0.21,0.48
0.01,0.21,0.48
0.011,0.21,0.48
0.012,0.21,0.48
0.013,0.21,0.48
0.014,0.21,0.48
0.015,0.21,0.48
0.016,0.21,0.48
0.017,0.21,0.48
0.018,0.21,0.48
0.019,0.21,0.48
0.02,0.21,0.48
0.021,0.21,0.48
0.022,0.21,0.48
0.023,0.21,0.48
0.024,0.21,0.48
0.025,0.21,0.48
0.001,0.22,0.48
0.002,0.22,0.48
0.003,0.22,0.48
0.004,0.22,0.48
0.005,0.22,0.48
0.006,0.22,0.48
0.007,0.22,0.48
0.008,0.22,0.48
0.009,0.22,0.48
0.01,0.22,0.48
0.011,0.22,0.48
0.012,0.22,0.48
0.013,0.22,0.48
0.014,0.22,0.48
0.015,0.22,0.48
0.016,0.22,0.48
0.017,0.22,0.48
0.018,0.22,0.48
0.019,0.22,0.48
0.02,0.22,0.48
0.021,0.22,0.48
0.022,0.22,0.48
0.023,0.22,0.48
0.024,0.22,0.48
0.025,0.22,0.48
0.001,0.23,0.48
0.002,0.23,0.48
0.003,0.23,0.48
0.004,0.23,0.48
0.005,0.23,0.48
0.006,0.23,0.48
0.007,0.23,0.48
0.008,0.23,0.48
0.009,0.23,0.48
0.01,0.23,0.48
0.011,0.23,0.48
0.012,0.23,0.48
0.013,0.23,0.48
0.014,0.23,0.48
0.015,0.23,0.48
0.016,0.23,0.48
0.017,0.23,0.48
0.018,0.23,0.48
0.019,0.23,0.48
0.02,0.23,0.48
0.021,0.23,0.48
0.022,0.23,0.48
0.023,0.23,0.48
0.024,0.23,0.48
0.025,0.23,0.48
0.001,0.24,0.48
0.002,0.24,0.48
0.003,0.24,0.48
0.004,0.24,0.48
0.005,0.24,0.48
0.006,0.24,0.48
0.007,0.24,0.48
0.008,0.24,0.48
0.009,0.24,0.48
0.01,0.24,0.48
0.011,0.24,0.48
0.012,0.24,0.48
0.013,0.24,0.48
0.014,0.24,0.48
0.015,0.24,0.48
0.016,0.24,0.48
0.017,0.24,0.48
0.018,0.24,0.48
0.019,0.24,0.48
0.02,0.24,0.48
0.021,0.24,0.48
0.022,0.24,0.48
0.023,0.24,0.48
0.024,0.24,0.48
0.025,0.24,0.48
0.001,0.25,0.48
0.002,0.25,0.48
0.003,0.25,0.48
0.004,0.25,0.48
0.005,0.25,0.48
0.006,0.25,0.48
0.007,0.25,0.48
0.008,0.25,0.48
0.009,0.25,0.48
0.01,0.25,0.48
0.011,0.25,0.48
0.012,0.25,0.48
0.013,0.25,0.48
0.014,0.25,0.48
0.015,0.25,0.48
0.016,0.25,0.48
0.017,0.25,0.48
0.018,0.25,0.48
0.019,0.25,0.48
0.02,0.25,0.48
0.021,0.25,0.48
0.022,0.25,0.48
0.023,0.25,0.48
0.024,0.25,0.48
0.025,0.25,0.48
0.001,0.01,0.51
0.002,0.01,0.51
0.003,0.01,0.51
0.004,0.01,0.51
0.005,0.01,0.51
0.006,0.01,0.51
0.007,0.01,0.51
0.008,0.01,0.51
0.009,0.01,0.51
0.01,0.01,0.51
0.011,0.01,0.51
0.012,0.01,0.51
0.013,0.01,0.51
0.014,0.01,0.51
0.015,0.01,0.51
0.016,0.01,0.51
0.017,0.01,0.51
0.018,0.01,0.51
0.019,0.01,0.51
0.02,0.01,0.51
0.021,0.01,0.51
0.022,0.01,0.51
0.023,0.01,0.51
0.024,0.01,0.51
0.025,0.01,0.51
0.001,0.02,0.51
0.002,0.02,0.51
0.003,0.02,0.51
0.004,0.02,0.51
0.005,0.02,0.51
0.006,0.02,0.51
0.007,0.02,0.51
0.008,0.02,0.51
0.009,0.02,0.51
0.01,0.02,0.51
0.011,0.02,0.51
0.012,0.02,0.51
0.013,0.02,0.51
0.014,0.02,0.51
0.015,0.02,0.51
0.016,0.02,0.51
0.017,0.02,0.51
0.018,0.02,0.51
0.019,0.02,0.51
0.02,0.02,0.51
0.021,0.02,0.51
0.022,0.02,0.51
0.023,0.02,0.51
0.024,0.02,0.51
0.025,0.02,0.51
0.001,0.03,0.51
0.002,0.03,0.51
0.003,0.03,0.51
0.004,0.03,0.51
0.005,0.03,0.51
0.006,0.03,0.51
0.007,0.03,0.51
0.008,0.03,0.51
0.009,0.03,0.51
0.01,0.03,0.51
0.011,0.03,0.51
0.012,0.03,0.51
0.013,0.03,0.51
0.014,0.03,0.51
0.015,0.03,0.51
0.016,0.03,0.51
0.017,0.03,0.51
0.018,0.03,0.51
0.019,0.03,0.51
0.02,0.03,0.51
0.021,0.03,0.51
0.022,0.03,0.51
0.023,0.03,0.51
0.024,0.03,0.51
0.025,0.03,0.51
0.001,0.04,0.51
0.002,0.04,0.51
0.003,0.04,0.51
0.004,0.04,0.51
0.005,0.04,0.51
0.006,0.04,0.51
0.007,0.04,0.51
0.008,0.04,0.51
0.009,0.04,0.51
0.01,0.04,0.51
0.011,0.04,0.51
0.012,0.04,0.51
0.013,0.04,0.51
0.014,0.04,0.51
0.015,0.04,0.51
0.016,0.04,0.51
0.017,0.04,0.51
0.018,0.04,0.51
0.019,0.04,0.51
0.02,0.04,0.51
0.021,0.04,0.51
0.022,0.04,0.51
0.023,0.04,0.51
0.024,0.04,0.51
0.025,0.04,0.51
0.001,0.05,0.51
0.002,0.05,0.51
0.003,0.05,0.51
0.004,0.05,0.51
0.005,0.05,0.51
0.006,0.05,0.51
0.007,0.05,0.51
0.008,0.05,0.51
0.009,0.05,0.51
0.01,0.05,0.51
0.011,0.05,0.51
0.012,0.05,0.51
0.013,0.05,0.51
0.014,0.05,0.51
0.015,0.05,0.51
0.016,0.05,0.51
0.017,0.05,0.51
0.018,0.05,0.51
0.019,0.05,0.51
0.02,0.05,0.51
0.021,0.05,0.51
0.022,0.05,0.51
0.023,0.05,0.51
0.024,0.05,0.51
0.025,0.05,0.51
0.001,0.06,0.51
0.002,0.06,0.51
0.003,0.06,0.51
0.004,0.06,0.51
0.005,0.06,0.51
0.006,0.06,0.51
0.007,0.06,0.51
0.008,0.06,0.51
0.009,0.06,0.51
0.01,0.06,0.51
0.011,0.06,0.51
0.012,0.06,0.51
0.013,0.06,0.51
0.014,0.06,0.51
0.015,0.06,0.51
0.016,0.06,0.51
0.017,0.06,0.51
0.018,0.06,0.51
0.019,0.06,0.51
0.02,0.06,0.51
0.021,0.06,0.51
0.022,0.06,0.51
0.023,0.06,0.51
0.024,0.06,0.51
0.025,0.06,0.51
0.001,0.07,0.51
0.002,0.07,0.51
0.003,0.07,0.51
0.004,0.07,0.51
0.005,0.07,0.51
0.006,0.07,0.51
0.007,0.07,0.51
0.008,0.07,0.51
0.009,0.07,0.51
0.01,0.07,0.51
0.011,0.07,0.51
0.012,0.07,0.51
0.013,0.07,0.51
0.014,0.07,0.51
0.015,0.07,0.51
0.016,0.07,0.51
0.017,0.07,0.51
0.018,0.07,0.51
0.019,0.07,0.51
0.02,0.07,0.51
0.021,0.07,0.51
0.022,0.07,0.51
0.023,0.07,0.51
0.024,0.07,0.51
0.025,0.07,0.51
0.001,0.08,0.51
0.002,0.08,0.51
0.003,0.08,0.51
0.004,0.08,0.51
0.005,0.08,0.51
0.006,0.08,0.51
0.007,0.08,0.51
0.008,0.08,0.51
0.009,0.08,0.51
0.01,0.08,0.51
0.011,0.08,0.51
0.012,0.08,0.51
0.013,0.08,0.51
0.014,0.08,0.51
0.015,0.08,0.51
0.016,0.08,0.51
0.017,0.08,0.51
0.018,0.08,0.51
0.019,0.08,0.51
0.02,0.08,0.51
0.021,0.08,0.51
0.022,0.08,0.51
0.023,0.08,0.51
0.024,0.08,0.51
0.025,0.08,0.51
0.001,0.09,0.51
0.002,0.09,0.51
0.003,0.09,0.51
0.004,0.09,0.51
0.005,0.09,0.51
0.006,0.09,0.51
0.007,0.09,0.51
0.008,0.09,0.51
0.009,0.09,0.51
0.01,0.09,0.51
0.011,0.09,0.51
0.012,0.09,0.51
0.013,0.09,0.51
0.014,0.09,0.51
0.015,0.09,0.51
0.016,0.09,0.51
0.017,0.09,0.51
0.018,0.09,0.51
0.019,0.09,0.51
0.02,0.09,0.51
0.021,0.09,0.51
0.022,0.09,0.51
0.023,0.09,0.51
0.024,0.09,0.51
0.025,0.09,0.51
0.001,0.1,0.51
0.002,0.1,0.51
0.003,0.1,0.51
0.004,0.1,0.51
0.005,0.1,0.51
0.006,0.1,0.51
0.007,0.1,0.51
0.008,0.1,0.51
0.009,0.1,0.51
0.01,0.1,0.51
0.011,0.1,0.51
0.012,0.1,0.51
0.013,0.1,0.51
0.014,0.1,0.51
0.015,0.1,0.51
0.016,0.1,0.51
0.017,0.1,0.51
0.018,0.1,0.51
0.019,0.1,0.51
0.02,0.1,0.51
0.021,0.1,0.51
0.022,0.1,0.51
0.023,0.1,0.51
0.024,0.1,0.51
0.025,0.1,0.51
0.001,0.11,0.51
0.002,0.11,0.51
0.003,0.11,0.51
0.004,0.11,0.51
0.005,0.11,0.51
0.006,0.11,0.51
0.007,0.11,0.51
0.008,0.11,0.51
0.009,0.11,0.51
0.01,0.11,0.51
0.011,0.11,0.51
0.012,0.11,0.51
0.013,0.11,0.51
0.014,0.11,0.51
0.015,0.11,0.51
0.016,0.11,0.51
0.017,0.11,0.51
0.018,0.11,0.51
0.019,0.11,0.51
0.02,0.11,0.51
0.021,0.11,0.51
0.022,0.11,0.51
0.023,0.11,0.51
0.024,0.11,0.51
0.025,0.11,0.51
0.001,0.12,0.51
0.002,0.12,0.51
0.003,0.12,0.51
0.004,0.12,0.51
0.005,0.12,0.51
0.006,0.12,0.51
0.007,0.12,0.51
0.008,0.12,0.51
0.009,0.12,0.51
0.01,0.12,0.51
0.011,0.12,0.51
0.012,0.12,0.51
0.013,0.12,0.51
0.014,0.12,0.51
0.015,0.12,0.51
0.016,0.12,0.51
0.017,0.12,0.51
0.018,0.12,0.51
0.019,0.12,0.51
0.02,0.12,0.51
0.021,0.12,0.51
0.022,0.12,0.51
0.023,0.12,0.51
0.024,0.12,0.51
0.025,0.12,0.51
0.001,0.13,0.51
0.002,0.13,0.51
0.003,0.13,0.51
0.004,0.13,0.51
0.005,0.13,0.51
0.006,0.13,0.51
0.007,0.13,0.51
0.008,0.13,0.51
0.009,0.13,0.51
0.01,0.13,0.51
0.011,0.13,0.51
0.012,0.13,0.51
0.013,0.13,0.51
0.014,0.13,0.51
0.015,0.13,0.51
0.016,0.13,0.51
0.017,0.13,0.51
0.018,0.13,0.51
0.019,0.13,0.51
0.02,0.13,0.51
0.021,0.13,0.51
0.022,0.13,0.51
0.023,0.13,0.51
0.024,0.13,0.51
0.025,0.13,0.51
0.001,0.14,0.51
0.002,0.14,0.51
0.003,0.14,0.51
0.004,0.14,0.51
0.005,0.14,0.51
0.006,0.14,0.51
0.007,0.14,0.51
0.008,0.14,0.51
0.009,0.14,0.51
0.01,0.14,0.51
0.011,0.14,0.51
0.012,0.14,0.51
0.013,0.14,0.51
0.014,0.14,0.51
0.015,0.14,0.51
0.016,0.14,0.51
0.017,0.14,0.51
0.018,0.14,0.51
0.019,0.14,0.51
0.02,0.14,0.51
0.021,0.14,0.51
0.022,0.14,0.51
0.023,0.14,0.51
0.024,0.14,0.51
0.025,0.14,0.51
0.001,0.15,0.51
